First Name,Surname,Country,Specialism,Reserve Price Rs Lakh, C A U
Joe,Denly,England,BATSMEN,100,Capped
Anton,Devcich,New Zealand,BATSMEN,50,Capped
Faiz,Fazal,India,BATSMEN,50,Capped
Aiden,Markram,South Africa,BATSMEN,50,Capped
Stephan,Myburgh,Netherlands,BATSMEN,20,Associate
Rilee,Rossouw,South Africa,BATSMEN,150,Capped
Lendl,Simmons,West Indies,BATSMEN,75,Capped
Luke,Wright,England,BATSMEN,150,Capped
Dan,Christian,Australia,ALL_ROUNDERS,100,Capped
JP,Duminy,South Africa,ALL_ROUNDERS,100,Capped
James,Faulkner,Australia,ALL_ROUNDERS,150,Capped
Irfan,Pathan,India,ALL_ROUNDERS,50,Capped
Thisara,Perera,Sri Lanka,ALL_ROUNDERS,50,Capped
Rovman,Powell,West Indies,ALL_ROUNDERS,50,Capped
Darcy,Short,Australia,ALL_ROUNDERS,200,Capped
Alex,Carey,Australia,WICKET_KEEPERS,150,Capped
Johnson,Charles,West Indies,WICKET_KEEPERS,50,Capped
Andre,Fletcher,West Indies,WICKET_KEEPERS,50,Capped
Shafiqullah,Shafiq,Afghanistan,WICKET_KEEPERS,50,Capped
Mohammad,Shahzad,Afghanistan,WICKET_KEEPERS,50,Capped
Brendan,Taylor,Zimbabwe,WICKET_KEEPERS,50,Capped
Manpreet,Grewal,India,BOWLERS,50,Capped
Ali,Khan,United States of America,BOWLERS,40,Associate
Ben,Laughlin,Australia,BOWLERS,100,Capped
Tymal,Mills,England,BOWLERS,75,Capped
Gulbadin,Naib,Afghanistan,BOWLERS,50,Capped
James,Pattinson,Australia,BOWLERS,100,Capped
Oshane,Thomas,West Indies,BOWLERS,50,Capped
Hardus,Viljoen,South Africa,BOWLERS,75,Capped
Mark,Wood,England,BOWLERS,100,Capped
Unmukt ,Chand,India,BATSMEN,20,Uncapped
Abhimanyu,Easwaran,India,BATSMEN,20,Uncapped
Chirag,Gandhi,India,BATSMEN,20,Uncapped
Kattingeri Ashwin,Hebbar,India,BATSMEN,20,Uncapped
Himanshu,Rana,India,BATSMEN,20,Uncapped
Sarthak,Ranjan,India,BATSMEN,20,Uncapped
Akshath ,Reddy,India,BATSMEN,20,Uncapped
Himmat,Singh,India,BATSMEN,20,Uncapped
Baba,Aparajith,India,ALL_ROUNDERS,20,Uncapped
Sandeep,Bavanaka,India,ALL_ROUNDERS,20,Uncapped
Akash,Bhandari,India,ALL_ROUNDERS,20,Uncapped
Subodh,Bhati,India,ALL_ROUNDERS,20,Uncapped
Hiten,Dalal,India,ALL_ROUNDERS,20,Uncapped
